DB_ARTICLE	DB_BRAND	ORIG_ARTICLE	ORIG_BRAND
bp43081	FENOX	BP43081	Fenox
bp43082	FENOX	BP43082	Fenox
bp43086	FENOX	BP43086	Fenox
bp43091	FENOX	BP43091	Fenox
bp43092	FENOX	BP43092	Fenox
bp43100	FENOX	BP43100	Fenox
bp43103	FENOX	BP43103	Fenox
bp43104	FENOX	BP43104	Fenox
bp43108	FENOX	BP43108	Fenox
bp43111	FENOX	BP43111	Fenox
bp43112	FENOX	BP43112	Fenox
bp43115	FENOX	BP43115	Fenox
bp43116	FENOX	BP43116	Fenox
bp43118	FENOX	BP43118	Fenox
bp43119	FENOX	BP43119	Fenox
bp43120	FENOX	BP43120	Fenox
bp43121	FENOX	BP43121	Fenox
bp43122	FENOX	BP43122	Fenox
bp43123	FENOX	BP43123	Fenox
bp43124	FENOX	BP43124	Fenox
bp43125	FENOX	BP43125	Fenox
bp43126	FENOX	BP43126	Fenox
bp43128	FENOX	BP43128	Fenox
bp43133	FENOX	BP43133	Fenox
bp43137	FENOX	BP43137	Fenox
bp43141	FENOX	BP43141	Fenox
bp43142	FENOX	BP43142	Fenox
bp43143	FENOX	BP43143	Fenox
bp43145	FENOX	BP43145	Fenox
bp43146	FENOX	BP43146	Fenox
bp43150	FENOX	BP43150	Fenox
bp43152	FENOX	BP43152	Fenox
bp43156	FENOX	BP43156	Fenox
bp43159	FENOX	BP43159	Fenox
bp43165	FENOX	BP43165	Fenox
bp43171	FENOX	BP43171	Fenox
bp43175	FENOX	BP43175	Fenox
bp43180	FENOX	BP43180	Fenox
bp43188	FENOX	BP43188	Fenox
bp43196	FENOX	BP43196	Fenox
bp43207	FENOX	BP43207	Fenox
bp43225	FENOX	BP43225	Fenox
bp43278	FENOX	BP43278	Fenox
bp43285	FENOX	BP43285	Fenox
bp43289	FENOX	BP43289	Fenox
bp43290	FENOX	BP43290	Fenox
bp43299	FENOX	BP43299	Fenox
bp43303	FENOX	BP43303	Fenox
bp43304	FENOX	BP43304	Fenox
bp43314	FENOX	BP43314	Fenox
bp43324	FENOX	BP43324	Fenox
bp43332	FENOX	BP43332	Fenox
bp43341	FENOX	BP43341	Fenox
bp43369	FENOX	BP43369	Fenox
bp43370	FENOX	BP43370	Fenox
bp43393	FENOX	BP43393	SB Nagamochi
bp43399	FENOX	BP43399	Fenox
bp43400	FENOX	BP43400	Fenox
bp43404	FENOX	BP43404	Fenox
